Some dummy data for generating SHA-256:
insert into visitors values (1,'chapter_time_1', current_timestamp);
insert into visitors values (2,'chapter_time_2', current_timestamp);
insert into visitors values (3,'chapter_time_3', current_timestamp);
insert into visitors values (4,'chapter_time_4', current_timestamp);
insert into visitors values (5,'chapter_time_5', current_timestamp);
insert into visitors values (6,'chapter_time_6', current_timestamp);
insert into visitors values (7,'chapter_time_7', current_timestamp);
insert into visitors values (8,'chapter_time_8', current_timestamp);
insert into visitors values (9,'chapter_time_9', current_timestamp);
insert into visitors values (10,'chapter_time_10', current_timestamp);
insert into visitors values (11,'chapter_time_11', current_timestamp);
insert into visitors values (12,'chapter_time_12', current_timestamp);
insert into visitors values (13,'chapter_time_13', current_timestamp);
insert into visitors values (14,'chapter_time_14', current_timestamp);
insert into visitors values (15,'chapter_time_15', current_timestamp);
insert into visitors values (16,'chapter_time_16', current_timestamp);
insert into visitors values (17,'chapter_time_17', current_timestamp);
insert into visitors values (18,'chapter_time_18', current_timestamp);
insert into visitors values (19,'chapter_time_19', current_timestamp);
insert into visitors values (20,'chapter_time_20', current_timestamp);
insert into visitors values (21,'chapter_time_21', current_timestamp);
insert into visitors values (22,'chapter_time_22', current_timestamp);
insert into visitors values (23,'chapter_time_23', current_timestamp);
insert into visitors values (24,'chapter_time_24', current_timestamp);
insert into visitors values (25,'chapter_time_25', current_timestamp);
insert into visitors values (26,'chapter_time_26', current_timestamp);
insert into visitors values (27,'chapter_time_27', current_timestamp);
insert into visitors values (28,'chapter_time_28', current_timestamp);
insert into visitors values (29,'chapter_time_29', current_timestamp);
insert into visitors values (30,'chapter_time_30', current_timestamp);
insert into visitors values (31,'chapter_time_31', current_timestamp);
insert into visitors values (32,'chapter_time_32', current_timestamp);
insert into visitors values (33,'chapter_time_33', current_timestamp);
insert into visitors values (34,'chapter_time_34', current_timestamp);
insert into visitors values (35,'chapter_time_35', current_timestamp);
insert into visitors values (36,'chapter_time_36', current_timestamp);
insert into visitors values (37,'chapter_time_37', current_timestamp);
insert into visitors values (38,'chapter_time_38', current_timestamp);
insert into visitors values (39,'chapter_time_39', current_timestamp);
insert into visitors values (40,'chapter_time_40', current_timestamp);
insert into visitors values (41,'chapter_time_41', current_timestamp);
insert into visitors values (42,'chapter_time_42', current_timestamp);
insert into visitors values (43,'chapter_time_43', current_timestamp);
insert into visitors values (44,'chapter_time_44', current_timestamp);
insert into visitors values (45,'chapter_time_45', current_timestamp);
insert into visitors values (46,'chapter_time_46', current_timestamp);
insert into visitors values (47,'chapter_time_47', current_timestamp);
insert into visitors values (48,'chapter_time_48', current_timestamp);
insert into visitors values (49,'chapter_time_49', current_timestamp);
insert into visitors values (50,'chapter_time_50', current_timestamp);
insert into visitors values (51,'chapter_time_51', current_timestamp);
insert into visitors values (52,'chapter_time_52', current_timestamp);
insert into visitors values (53,'chapter_time_53', current_timestamp);
insert into visitors values (54,'chapter_time_54', current_timestamp);
insert into visitors values (55,'chapter_time_55', current_timestamp);
insert into visitors values (56,'chapter_time_56', current_timestamp);
insert into visitors values (57,'chapter_time_57', current_timestamp);
insert into visitors values (58,'chapter_time_58', current_timestamp);
insert into visitors values (59,'chapter_time_59', current_timestamp);
insert into visitors values (60,'chapter_time_60', current_timestamp);
insert into visitors values (61,'chapter_time_61', current_timestamp);
insert into visitors values (62,'chapter_time_62', current_timestamp);
insert into visitors values (63,'chapter_time_63', current_timestamp);
insert into visitors values (64,'chapter_time_64', current_timestamp);
insert into visitors values (65,'chapter_time_65', current_timestamp);
insert into visitors values (66,'chapter_time_66', current_timestamp);
insert into visitors values (67,'chapter_time_67', current_timestamp);
insert into visitors values (68,'chapter_time_68', current_timestamp);
insert into visitors values (69,'chapter_time_69', current_timestamp);
insert into visitors values (70,'chapter_time_70', current_timestamp);
insert into visitors values (71,'chapter_time_71', current_timestamp);
insert into visitors values (72,'chapter_time_72', current_timestamp);
